KEY,EN,RU,DE,FR,PL,KR,PT-BR,SPA,SWE,JP,ZH-HK,ZN-CN,FA,FI
UsePainkillerMessage,Tap {0} button {1} more times to use painkillers,Нажмите кнопку {0} ещё {1} раз чтобы использовать обезбаливающие,,,,,,,,鎮痛剤を使用する（通知）,使用止痛藥（提示）,使用止痛药（提示）,,Paina {0} vielä {1} kertaa käyttääksesi särkylääkkeitä
HandsAreBusy,Your hands are unavailable,Ваши руки недоступны,,,,,,,,,,,,
,,,,,,,,,,,,,,
CheckHelpMessage,You can use {0} button to check your health state,Чтобы проверить своё здоровье используйте клавишу {0},,,,,,,,ヘルプ情報を確認する,檢查幫助資訊,检查帮助信息,,Paina {0} tarkastaaksesi terveytesi
BandageHelpMessage,You can use {0} button to bandage your bleeding wounds,Чтобы перебинтовать кровоточащие раны используйте клавишу {0},,,,,,,,包帯のヘルプ情報,包紮幫助資訊,包扎帮助信息,,Paina {0} sitoaksesi vuotavat haavat
PainkillerHelpMessage,You can use {0} button to use painkillers to reduce your pain,Чтобы принять обезбаливающие используйте клавишу {0},,,,,,,,鎮痛剤のヘルプ情報,止痛藥幫助資訊,止痛药帮助信息,,Paina {0} vähentääksesi kipua käyttämällä särkylääkkeitä
MedkitsHelpMessage,You may find bandages and painkillers in medkits and emergency cars,Вы можете найти бинты и обезбаливающие в аптечках и спец-машинах,,,,,,,,医療キットのヘルプ情報,醫藥包幫助資訊,医药包帮助信息,,Voit löytää sideharsoja ja särkylääkkeitä ensiapulaukuista tai ambulanssi -ja poliisiautoista
,,,,,,,,,,,,,,
BodyParts.Head,Head,Голова,,,,,,,,,,,,
BodyParts.Neck,Neck,Шея,,,,,,,,,,,,
BodyParts.Chest,Chest,Грудь,,,,,,,,,,,,
BodyParts.Abdomen,Abdomen,Живот,,,,,,,,,,,,
BodyParts.Pelvis,Pelvis,Таз,,,,,,,,,,,,
BodyParts.LeftShoulder,L.Shoulder,Л.Плечо,,,,,,,,,,,,
BodyParts.RightShoulder,R.Shoulder,П.Плечо,,,,,,,,,,,,
BodyParts.LeftArm,L.Arm,Л.Рука,,,,,,,,,,,,
BodyParts.RightArm,R.Arm,П.Рука,,,,,,,,,,,,
BodyParts.LeftLeg,L.Leg,Л.Нога,,,,,,,,,,,,
BodyParts.RightLeg,R.Leg,П.Нога,,,,,,,,,,,,
,,,,,,,,,,,,,,
Wounds.Gsw.Grazing,Grazing GSW,Скользящее огнестрельное ранение,,,,,,,,,,,,
Wounds.Gsw.Flesh,Flesh GSW,Касательное огнестрельное ранение,,,,,,,,,,,,
Wounds.Gsw.Penetrating,Penetrating GSW,Слепое огнестрельное ранение,,,,,,,,,,,,
Wounds.Gsw.Perforating,Perforating GSW,Сквозное огнестрельное ранение,,,,,,,,,,,,
Wounds.Gsw.Lacerating,Lacerating GSW,Рваное огнестрельное ранение,,,,,,,,,,,,
Wounds.Gsw.Avulsive,Avulsive GSW,Разрывающее огнестрельное ранение,,,,,,,,,,,,
,,,,,,,,,,,,,,
Wounds.Cut.Incised,Incised wound,Резаная рана,,,,,,,,,,,,
Wounds.Cut.DeepIncised,Deep incised wound,Глубокая резаная рана,,,,,,,,,,,,
Wounds.Cut.Slash,Slash wound,Секущая рана,,,,,,,,,,,,
Wounds.Cut.Laceration,Laceration wound,Рваная рана,,,,,,,,,,,,
Wounds.Cut.Stab,Stab wound,Колотая рана,,,,,,,,,,,,
Wounds.Cut.Chop,Chop wound,Рубленая рана,,,,,,,,,,,,
,,,,,,,,,,,,,,
Wounds.Blunt.LightBruise,Light bruise,Легкий ушиб,,,,,,,,,,,,
Wounds.Blunt.MediumBruise,Medium bruise,Средний ушиб,,,,,,,,,,,,
Wounds.Blunt.HeavyBruise,Heavy bruise,Серьезный ушиб,,,,,,,,,,,,
Wounds.Blunt.Hematoma,Hematoma,Гематома,,,,,,,,,,,,
Wounds.Blunt.Abrasion,Abrasion wound,Ссадина,,,,,,,,,,,,
Wounds.Blunt.Laceration,Laceration blunt wound,Рваная рана от удара,,,,,,,,,,,,
,,,,,,,,,,,,,,
TraumaType,Trauma,Травма,,,,,,,,,,,,
Traumas.ClosedFracture,Closed bone fracture,Закрытый перелом,,,,,,,,,,,,
Traumas.SkullFracture,Skull fracture,Перелом костей черепа,,,,,,,,,,,,
Traumas.BleedingInHead,Intracerebral hemorrhage,Кровоизлияние в мозг,,,,,,,,,,,,
Traumas.SpineFracture,Cervical spine fracture,Перелом шейных позвонков,,,,,,,,,,,,
Traumas.RibFractures,Rib fractures,Переломы рёбер,,,,,,,,,,,,
Traumas.CardiacInjury,Cardiac injury,Повреждение сердца,,,,,,,,,,,,
Traumas.TrachealInjury,Tracheal injury,Повреждение трахеи,,,,,,,,,,,,
Traumas.PulmonaryInjury,Pulmonary injury,Повреждение легких,,,,,,,,,,,,
Traumas.StomachInjury,Stomach injury,Повреждение желудка,,,,,,,,,,,,
Traumas.BowelInjury,Bowel injury,Повреждение кишечника,,,,,,,,,,,,
Traumas.LiverInjury,Liver injury,Повреждение печени,,,,,,,,,,,,
,,,,,,,,,,,,,,
Traumas.Blunt.NasalFracture,Nasal fracture,Перелом носа,,,,,,,,,,,,
Traumas.Blunt.BlackoutChance,Possible blackout,Возможная потеря сознания,,,,,,,,,,,,
Traumas.Blunt.Concussion,Consussion,Сотрясение мозга,,,,,,,,,,,,
Traumas.Blunt.BrainHematoma,Epidural hematoma,Подчерепная гематома,,,,,,,,,,,,
Traumas.Blunt.Hemothorax,Hemothorax,Гемоторакс ,,,,,,,,,,,,
Traumas.Blunt.Hemoperitoneum,Hemoperitoneum,Гемоперитонеум ,,,,,,,,,,,,
,,,,,,,,,,,,,,
Traumas.Penet.ArterialBleed,Arterial bleed,Повреждение артерии,,,,,,,,,,,,
Traumas.Penet.GreatBleed,Great vessel injury,Повреждение аорты,,,,,,,,,,,,
Traumas.Penet.Pneumothorax,Pneumothorax,Пневмоторакс,,,,,,,,,,,,
Traumas.Penet.CranialInjury,Penetrating cranial injury,Проникающее ранение черепа,,,,,,,,,,,,
Traumas.Blunt.NasalFracture,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TranslationAuthor,"SH42913, sob, Bleak_Perspective",SH42913,gand,JaminFR,MicroPanda123,kim GI,"AwesomeSmile, TheBrunoCA",,,"Ranshiine, HunterLies","Kwansy, HunterLies",HunterLies,,volc
